last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Mateo, Jorge,622761,135,SD,CF,26,26,4.08,30.9
Turner, Trea,607208,120,WSH,SS,28,116,4.11,30.7
Locastro, Tim,641796,109,ARI,CF,29,37,4.07,30.7
White, Eli,642201,140,TEX,LF,27,35,4.17,30.5
Quinn, Roman,596451,143,PHI,CF,28,19,,30.0
Buxton, Byron,621439,142,MIN,CF,28,44,3.97,30.0
Berti, Jon,542932,146,MIA,3B,31,93,4.22,29.9
Hampson, Garrett,641658,115,COL,CF,27,78,4.20,29.8
Sosa, Edmundo,624641,138,STL,SS,25,60,4.28,29.7
Taveras, Leody,665750,140,TEX,CF,23,13,,29.7
Hamilton, Billy,571740,145,CWS,CF,31,22,,29.7
O'Neill, Tyler,641933,138,STL,LF,26,45,4.25,29.7
Haggerty, Sam,664059,136,SEA,LF,27,34,4.27,29.5
Acuña Jr., Ronald,660670,144,ATL,RF,24,63,4.26,29.4
Rosario, Amed,642708,114,CLE,SS,26,109,4.22,29.4
Bader, Harrison,664056,138,STL,CF,27,23,4.25,29.4
Olivares, Edward,658668,118,KC,RF,25,13,,29.3
Trout, Mike,545361,108,LAA,CF,30,38,4.30,29.3
Stevenson, Andrew,664057,120,WSH,CF,27,31,4.22,29.3
Zimmer, Bradley,605548,114,CLE,CF,29,18,,29.3
Kiermaier, Kevin,595281,139,TB,CF,31,73,4.13,29.1
Lux, Gavin,666158,119,LAD,SS,24,85,4.18,29.1
Straw, Myles,664702,117,HOU,CF,27,97,4.16,29.1
Chisholm Jr., Jazz,665862,146,MIA,2B,23,82,4.16,29.1
Senzel, Nick,669222,113,CIN,CF,26,44,4.37,29.1
Heath, Nick,670084,109,ARI,CF,28,12,,29.1
Davis, Jonathan,641505,141,TOR,CF,29,20,4.33,29.0
Tatis Jr., Fernando,665487,135,SD,SS,22,71,4.28,29.0
Wade, Tyler,642180,147,NYY,SS,27,26,4.13,29.0
Miller, Owen,680911,114,CLE,DH,25,15,4.35,29.0
Taylor, Tyrone,621438,158,MIL,LF,27,33,4.43,28.9
Grisham, Trent,663757,135,SD,CF,25,64,4.31,28.9
Baddoo, Akil,668731,116,DET,CF,23,65,4.12,28.9
Sierra, Magneuris,642423,146,MIA,CF,25,44,4.03,28.9
McCormick, Chas,676801,117,HOU,LF,26,37,4.29,28.9
Hoerner, Nico,663538,112,CHC,2B,24,41,4.24,28.9
Ohtani, Shohei,660271,108,LAA,DH,27,74,4.09,28.9
McKenna, Ryan,663630,110,BAL,RF,24,16,,28.9
Bolt, Skye,621450,133,OAK,CF,27,13,,28.9
Pache, Cristian,665506,144,ATL,CF,23,24,4.36,28.9
Solak, Nick,669256,140,TEX,2B,26,111,4.27,28.8
Brinson, Lewis,621446,146,MIA,CF,27,20,4.26,28.8
Merrifield, Whit,593160,118,KC,2B,32,116,4.32,28.8
Hernandez, Cesar,514917,114,CLE,2B,31,96,4.25,28.8
Devers, José,672701,146,MIA,2B,22,18,,28.8
Gosselin, Phil,594838,108,LAA,3B,33,38,4.30,28.8
Nimmo, Brandon,607043,121,NYM,CF,28,30,,28.8
García, Avisaíl,541645,158,MIL,RF,30,86,4.46,28.8
Robert, Luis,673357,145,CWS,CF,24,31,,28.8
Story, Trevor,596115,115,COL,SS,29,82,4.30,28.7
India, Jonathan,663697,113,CIN,2B,25,89,4.38,28.7
Walls, Taylor,670764,139,TB,SS,25,23,,28.7
Thomas, Lane,657041,138,STL,RF,26,13,4.33,28.7
Taylor, Chris,621035,119,LAD,CF,31,86,4.36,28.7
Edman, Tommy,669242,138,STL,2B,26,146,4.25,28.7
Williams, Luke,663897,143,PHI,2B,25,18,,28.7
